Event,SiteID,DOC,PO4-P,TN,DIN-N,Fluoride,Chloride,Bromide,Sulfate,Lithium,Sodium,Potassium,Region,Reach,SiteType,Lat,Long,Area_SS,Watershed,Category,Mar 50%,Jul 50%,Fall 50%,Forest,%DEV,%IMP,%Herb
Spring,558,,0.039633054,,0.26754,5.2428,113.4346,0.0701,169.1562,0.3333,142.8946,25.6061,Upper Provo,7,Mainstem,40.55772578,-111.1687786,171,Provo River,Mixed dammed,37.1,201,28.7,79.9,1.76,0.0929,3.51
Spring,563,1.11,0.019296049,1.4855,0.3783248,3.2162,68.6403,0.0629,29.5642,0.272,111.8185,25.8664,Upper Provo,7,Tributary,40.55712,-111.13076,34.3,Provo River,Mixed dammed,6.11,27.9,5.72,86.1,1.5,0.0687,2.98
Spring,568,1.99,0.016948497,0.892,0.129325,0.5781,89.3992,0.0063,21.1159,0.1629,92.5808,11.191,Upper Provo,9,Mainstem,40.59333271,-111.0942608,67.3,Provo River,Mixed dammed,16.2,113,15.5,77.9,2.67,0.13,4.58
Spring,590,,0.027551964,,0.0296562,16.8724,157.2792,0.2262,1167.7585,0.4323,218.8911,16.8288,American Fork,2,Mainstem,40.425509,-111.773254,60.9,American Fork,Mountain Urban,22.7,44,18.8,71.5,1.54,0.4,3.37
Spring,591,2.37,0.0289823,0.80825,0.0842016,7.9324,428.1318,0.6878,402.584,1.7655,471.8977,44.3835,Lower Provo,5,Mainstem,40.263816,-111.663993,671,Provo River,Mixed dammed,0,0,0,65.5,4.47,0.56,3.49
Spring,592,2.55,0.032316958,1.29975,0.1228416,7.9235,419.432,0.6777,399.0966,1.6892,461.7931,47.1553,Lower Provo,6,Mainstem,40.282703,-111.668621,665,Provo River,Mixed dammed,0,0,0,65.5,4.47,0.56,3.49
Spring,593,2.07,0.027305383,0.89475,0.1053052,8.1574,417.2234,0.8371,399.4195,1.6858,458.2354,44.2485,Lower Provo,6,Mainstem,40.294501,-111.662727,664,Provo River,Mixed dammed,0,0,0,65.5,4.4,0.53,3.49
Spring,595,3.16,0.030778674,8.05,3.6150394,16.8676,4140.4999,0.924,1055.2716,6.8436,3264.6361,412.8707,Utah Valley,6,Canal,40.303886,-111.7623,0,Other,Lake Tributary,0,0,0,50,2,0.1,3.5
Spring,596,,0.0573552,,,,,,,,,,Utah Valley,6,Utah Lake,40.316557,-111.764862,2950,Utah Lake,Utah Lake,0,0,0,43.8,10.7,2.1,6.15
Spring,597,,0.027865886,,0.2015006,9.9078,558.7197,0.0895,390.4736,1.8101,682.1104,46.1758,Lower Provo,1,Mainstem,40.239738,-111.712043,685,Provo River,Mixed dammed,0,0,0,64.9,5.51,1.06,3.49
Spring,598,2.2,0.033141631,0.72425,0.061425,7.9002,421.7509,1.0416,402.6591,1.6787,458.5535,43.0251,Lower Provo,5,Mainstem,40.260355,-111.663812,681,Provo River,Mixed dammed,132,94.6,41.6,65.2,5.02,0.81,3.5
Spring,600,1.39,0.023605913,0.63575,0.0506674,32.4589,558.2455,0.109,295.3157,1.1883,622.9895,71.222,Spanish Fork,7,Tributary,39.949306,-111.537889,188,Spanish Fork,Ag unreg,20.5,26.1,13.6,51.3,1.17,0.11,7.53
Spring,601,,0.026693181,,0.1406566,5.5742,131.3334,0.1475,803.0696,0.5494,202.4071,17.2315,Hobble Creek,8,Mainstem,40.2523452,-111.4313771,13.2,Hobble Creek,Mountain Urban,3.74,6.29,4.2,62,0.00787,0.000137,2.82
